datetime,open,high,low,close,volume
2023-01-02 09:15:00,614.95,616.75,613.55,613.95,239373
2023-01-02 09:20:00,614.05,616.45,612.8,615.8,194288
2023-01-02 09:25:00,615.8,615.9,614.3,614.65,184791
2023-01-02 09:30:00,614.9,617.5,614.0,617.2,202179
2023-01-02 09:35:00,617.0,617.85,616.4,617.5,132450
2023-01-02 09:40:00,617.4,617.5,616.3,617.35,90682
2023-01-02 09:45:00,617.35,617.45,616.55,617.2,51718
2023-01-02 09:50:00,617.05,618.5,616.5,618.5,128606
2023-01-02 09:55:00,618.7,619.2,618.15,618.4,152157
2023-01-02 10:00:00,618.45,618.9,618.0,618.4,110502
2023-01-02 10:05:00,618.4,618.5,617.4,618.2,198681
2023-01-02 10:10:00,618.2,618.3,617.1,617.1,58758
2023-01-02 10:15:00,616.85,617.3,615.75,615.75,139567
2023-01-02 10:20:00,615.75,616.2,614.5,614.65,151799
2023-01-02 10:25:00,614.6,616.25,614.6,615.5,74748
2023-01-02 10:30:00,615.65,616.35,615.5,615.65,33182
2023-01-02 10:35:00,615.65,617.15,615.65,616.55,104031
2023-01-02 10:40:00,616.75,616.75,614.7,614.8,132528
2023-01-02 10:45:00,614.75,615.7,614.75,615.7,48414
2023-01-02 10:50:00,615.65,615.85,615.15,615.6,46614
2023-01-02 10:55:00,615.7,616.0,615.3,615.65,49408
2023-01-02 11:00:00,615.65,616.0,615.5,615.85,36656
2023-01-02 11:05:00,615.85,615.85,615.05,615.05,148164
2023-01-02 11:10:00,615.05,615.3,613.75,613.95,223967
2023-01-02 11:15:00,613.95,614.75,613.9,614.5,48471
2023-01-02 11:20:00,614.65,614.7,613.5,613.5,98249
2023-01-02 11:25:00,613.6,614.7,613.35,613.95,73303
2023-01-02 11:30:00,613.95,614.0,613.6,613.85,36147
2023-01-02 11:35:00,613.95,614.6,613.85,614.35,51942
2023-01-02 11:40:00,614.35,614.6,614.3,614.45,17235
2023-01-02 11:45:00,614.5,614.85,614.15,614.65,39040
2023-01-02 11:50:00,614.4,614.95,613.8,614.0,60919
2023-01-02 11:55:00,614.0,614.2,613.75,614.0,35105
2023-01-02 12:00:00,614.0,614.65,613.8,614.55,47784
2023-01-02 12:05:00,614.55,614.95,614.0,614.4,44033
2023-01-02 12:10:00,614.3,614.9,614.3,614.6,22881
